word,frequency
ways,13.0
early,13.0
adults,13.0
reminds,13.0
privilege,13.0
joe,13.0
starting,13.0
@notrealaoc,13.0
within,13.0
relationship,13.0
sleeping,13.0
100,13.0
noises,13.0
re,13.0
tragic,13.0
students,13.0
lazy,13.0
shocked,13.0
product,13.0
arrived,13.0
fat,13.0
figure,13.0
they'll,13.0
waste,13.0
sign,13.0
mobs,13.0
properly,13.0
sucks,13.0
liked,13.0
21,13.0
foster,13.0
trouble,13.0
brewbound:,13.0
position,13.0
prison,13.0
argue,13.0
someones,13.0
oc,13.0
page,13.0
relieved,13.0
understanding,13.0
loves,13.0
stops,13.0
nor,13.0
apart,13.0
cried,13.0
dey,13.0
drunk,13.0
ex,13.0
weapons,13.0
careful,13.0
brutality,13.0
screen,13.0
mf,13.0
makhia,13.0
@banquothe,13.0
attempt,13.0
former,13.0
@mariolopezmal,13.0
company,13.0
itself,13.0
clubs,13.0
offer,13.0
toxic,13.0
forgot,13.0
unarmed,13.0
@texasmom__,13.0
realized,13.0
sexy,13.0
otherwise,13.0
stressed,13.0
feed,13.0
policing,13.0
several,13.0
consider,13.0
@casstalksalot,13.0
accountability,13.0
heartbroken,13.0
punch,13.0
specific,13.0
peoples,13.0
politics,13.0
biracial,13.0
turning,13.0
teams,13.0
necessary,13.0
conservatives,12.0
split,12.0
released,12.0
@summerbuck,12.0
1st,12.0
match,12.0
pro,12.0
destroy,12.0
forever,12.0
adult,12.0
recently,12.0
shoes,12.0
groups,12.0
crisis,12.0
lion,12.0
minister,12.0
entitled,12.0
office,12.0
@authordelrey,12.0
@mrandyngo,12.0
moments,12.0
lil,12.0
waking,12.0
player,12.0
threatened,12.0
key,12.0
abdul,12.0
million,12.0
queen,12.0
@rjeanroberts,12.0
logic,12.0
sports,12.0
closed,12.0
strong,12.0
fandom,12.0
clean,12.0
amhara,12.0
cruel,12.0
@frankkhaliduk,12.0
fed,12.0
vs,12.0
worth,12.0
asshole,12.0
regardless,12.0
@projectlincoln,12.0
decisions,12.0
hav,12.0
killer,12.0
schalke,12.0
pics,12.0
meeting,12.0
arsenal,12.0
knives,12.0
anti,12.0
@bigwhoaaaong,12.0
created,12.0
term,12.0
@southernhavok,12.0
gods,12.0
release,12.0
insult,12.0
forward,12.0
extra,12.0
foxnews,12.0
nigerians,12.0
@mstaken71340699,12.0
tryna,12.0
@tolkienmike,12.0
fails,12.0
christian,12.0
@timcast,12.0
hating,12.0
rule,12.0
yell,12.0
owner,12.0
wo,12.0
result,12.0
according,12.0
soul,12.0
sing,12.0
neck,12.0
zero,12.0
outrage,12.0
somewhere,12.0
normally,12.0
actress,12.0
emotion,12.0
opinions,12.0
window,12.0
paper,12.0
gop,12.0
coz,12.0
join,12.0
similar,12.0
arrested,12.0
vaccines,12.0
learned,12.0
ending,12.0
